minerID,power,rewards_gained,main_blocks_created,uncle_blocks_created
m78,1500158,55662.285714,7.000000,4.000000
m79,1800190,79048.285714,12.000000,4.000000
m80,2160228,53703.857143,7.000000,5.000000
m81,2592274,137023.428571,20.000000,6.000000
m82,3110728,130242.571429,19.000000,7.000000
m83,3732874,173571.000000,27.000000,5.000000
m84,4479449,157677.000000,20.000000,11.000000
m85,5375339,283225.571429,40.000000,16.000000
m86,6450407,288616.142857,44.000000,8.000000
m87,7740489,344251.857143,46.000000,25.000000
m88,9288586,340508.571429,45.000000,26.000000
m89,11146304,480698.571429,78.000000,23.000000
m90,13375565,638088.571429,88.000000,46.000000
m91,16050678,768248.142857,127.000000,23.000000
m92,19260813,911046.857143,140.000000,34.000000
m93,23112976,1154203.000000,192.000000,26.000000
m94,27735572,1184718.142857,162.000000,87.000000
m95,33282686,1420845.000000,219.000000,54.000000
m96,39939223,1913638.571429,287.000000,97.000000
m97,47927068,2318004.714286,365.000000,73.000000
m98,57512482,3026832.142857,478.000000,99.000000
m99,69014978,3686499.285714,595.000000,100.000000
minerID,power,rewards_gained,main_blocks_created,uncle_blocks_created
m0,1,0.000000,0.000000,0.000000
m1,1,0.000000,0.000000,0.000000
m2,1,0.000000,0.000000,0.000000
m3,1,0.000000,0.000000,0.000000
m4,2,0.000000,0.000000,0.000000
m5,2,0.000000,0.000000,0.000000
m6,2,0.000000,0.000000,0.000000
m7,3,0.000000,0.000000,0.000000
m8,4,0.000000,0.000000,0.000000
m9,5,0.000000,0.000000,0.000000
m10,6,0.000000,0.000000,0.000000
m11,7,0.000000,0.000000,0.000000
m12,8,0.000000,0.000000,0.000000
m13,10,0.000000,0.000000,0.000000
m14,12,0.000000,0.000000,0.000000
m15,15,0.000000,0.000000,0.000000
m16,18,0.000000,0.000000,0.000000
m17,22,0.000000,0.000000,0.000000
m18,26,0.000000,0.000000,0.000000
m19,31,0.000000,0.000000,0.000000
m20,38,0.000000,0.000000,0.000000
m21,46,0.000000,0.000000,0.000000
m22,55,0.000000,0.000000,0.000000
m23,66,0.000000,0.000000,0.000000
m24,79,0.000000,0.000000,0.000000
m25,95,0.000000,0.000000,0.000000
m26,114,0.000000,0.000000,0.000000
m27,137,0.000000,0.000000,0.000000
m28,164,0.000000,0.000000,0.000000
m29,197,0.000000,0.000000,0.000000
m30,237,0.000000,0.000000,0.000000
m31,284,0.000000,0.000000,0.000000
m32,341,0.000000,0.000000,0.000000
m33,410,0.000000,0.000000,0.000000
m34,492,0.000000,0.000000,0.000000
m35,590,0.000000,0.000000,0.000000
m36,708,0.000000,0.000000,0.000000
m37,850,0.000000,0.000000,0.000000
m38,1020,0.000000,0.000000,0.000000
m39,1224,0.000000,0.000000,0.000000
m40,1469,0.000000,0.000000,0.000000
m41,1763,0.000000,0.000000,0.000000
m42,2116,0.000000,0.000000,0.000000
m43,2539,0.000000,0.000000,0.000000
m44,3047,0.000000,0.000000,0.000000
m45,3657,0.000000,0.000000,0.000000
m46,4388,0.000000,0.000000,0.000000
m47,5266,0.000000,0.000000,0.000000
m48,6319,0.000000,0.000000,0.000000
m49,7583,0.000000,0.000000,0.000000
m50,9100,0.000000,0.000000,0.000000
m51,10920,0.000000,0.000000,0.000000
m52,13104,0.000000,0.000000,0.000000
m53,15725,0.000000,0.000000,0.000000
m54,18870,0.000000,0.000000,0.000000
m55,22644,0.000000,0.000000,0.000000
m56,27173,0.000000,0.000000,0.000000
m57,32608,0.000000,0.000000,0.000000
m58,39130,0.000000,0.000000,0.000000
m59,46956,0.000000,0.000000,0.000000
m60,56347,0.000000,0.000000,0.000000
m61,67617,0.000000,0.000000,0.000000
m62,81140,4285.714286,0.000000,2.000000
m63,97368,5970.000000,1.000000,0.000000
m64,116842,5404.000000,1.000000,0.000000
m65,140210,11018.000000,2.000000,0.000000
m66,168252,0.000000,0.000000,0.000000
m67,201903,16117.000000,3.000000,1.000000
m68,242283,14682.428571,1.000000,2.000000
m69,290740,5278.000000,1.000000,0.000000
m70,348888,10363.714286,1.000000,1.000000
m71,418666,17435.000000,3.000000,0.000000
m72,502400,17118.000000,3.000000,0.000000
m73,602880,26985.142857,3.000000,2.000000
m74,723456,36815.000000,4.000000,7.000000
m75,868147,63831.714286,10.000000,1.000000
m76,1041776,39399.857143,4.000000,6.000000
m77,1250132,56806.142857,8.000000,3.000000
m78,1500158,63948.428571,11.000000,2.000000
m79,1800190,55297.285714,6.000000,8.000000
m80,2160228,111413.571429,15.000000,8.000000
m81,2592274,129027.285714,21.000000,3.000000
m82,3110728,140713.000000,17.000000,13.000000
m83,3732874,141608.857143,20.000000,9.000000
m84,4479449,193593.428571,29.000000,7.000000
m85,5375339,291039.142857,43.000000,12.000000
m86,6450407,347187.000000,50.000000,23.000000
m87,7740489,386468.000000,60.000000,15.000000
m88,9288586,411396.571429,67.000000,13.000000
m89,11146304,510767.714286,83.000000,15.000000
m90,13375565,680804.714286,103.000000,27.000000
m91,16050678,764679.142857,102.000000,50.000000
m92,19260813,943448.857143,132.000000,64.000000
m93,23112976,1154516.857143,182.000000,40.000000
m94,27735572,1380622.285714,202.000000,71.000000
m95,33282686,1819063.714286,284.000000,62.000000
m96,39939223,1874998.714286,307.000000,55.000000
m97,47927068,2234336.571429,326.000000,115.000000
m98,57512482,2994748.142857,466.000000,112.000000
m99,69014978,3219556.285714,475.000000,166.000000
minerID,power,rewards_gained,main_blocks_created,uncle_blocks_created
m0,1,0.000000,0.000000,0.000000
m1,1,0.000000,0.000000,0.000000
m2,1,0.000000,0.000000,0.000000
m3,1,0.000000,0.000000,0.000000
